Species ID,Species Label,Active Taxa,Source Count,Group,Proteome Strategy,Protein Strategy,Proteome ID,Proteome Label,Proteome IRI,Reviewed Proteins,Unreviewed Proteins,Total Proteins,Errors
470,Acinetobacter baumannii,470; 400667,2,bacterium,metaproteome,strong-blast-match,470,Acinetobacter baumannii,http://iedb.org/metaproteome/470,303,2465,2768,
471,Acinetobacter calcoaceticus,575585,1,bacterium,uniprot-complete,strong-blast-match,471,Acinetobacter calcoaceticus,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A471,0,3728,3728,
480,Moraxella catarrhalis,480,7,bacterium,metaproteome,strong-blast-match,480,Moraxella catarrhalis,http://iedb.org/metaproteome/480,2,1879,1881,
485,Neisseria gonorrhoeae,485; 521006; 242231; 528348,18,bacterium,metaproteome,strong-blast-match,485,Neisseria gonorrhoeae,http://iedb.org/metaproteome/485,422,1545,1967,
487,Neisseria meningitidis,604162; 65699; 487; 1095688; 135720; 491; 1172206; 374833; 942513; 122586; 122587; 272831,52,bacterium,metaproteome,strong-blast-match,487,Neisseria meningitidis,http://iedb.org/metaproteome/487,579,1426,2005,
511,Alcaligenes faecalis,511,1,bacterium,uniprot-complete,strong-blast-match,511,Alcaligenes faecalis,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A511,0,3842,3842,
512,Alcaligenes sp.,512,1,bacterium,uniprot-misc,strong-blast-match,512,Alcaligenes sp.,http://www.uniprot.org/uniprot/?query=taxonomy%3A512,13,17,30,
518,Bordetella bronchiseptica,518,1,bacterium,uniprot-complete,strong-blast-match,1208657,Bordetella bronchiseptica 1289,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A1208657,0,4737,4737,
520,Bordetella pertussis,257313; 568706; 520; 1017264,63,bacterium,metaproteome,strong-blast-match,520,Bordetella pertussis,http://iedb.org/metaproteome/520,515,2744,3259,
521,Bordetella avium,360910,1,bacterium,metaproteome,strong-blast-match,521,Bordetella avium,http://iedb.org/metaproteome/521,363,3009,3372,
524,Acidiphilium cryptum (Acidiphilum cryptum),349163,1,bacterium,metaproteome,strong-blast-match,524,Acidiphilium cryptum (Acidiphilum cryptum),http://iedb.org/metaproteome/524,262,3259,3521,
546,Citrobacter freundii,546,1,bacterium,uniprot-complete,strong-blast-match,1333848,Citrobacter freundii CFNIH1,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A1333848,0,4926,4926,
550,Enterobacter cloacae,550,2,bacterium,metaproteome,strong-blast-match,550,Enterobacter cloacae,http://iedb.org/metaproteome/550,0,3991,3991,
554,Pectobacterium carotovorum,554; 561230,2,bacterium,uniprot-complete,strong-blast-match,180957,Pectobacterium carotovorum subsp. brasiliense,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A180957,0,7586,7586,
556,Dickeya chrysanthemi,556,1,bacterium,uniprot-complete,strong-blast-match,561229,Dickeya chrysanthemi Ech1591,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A561229,13,4118,4131,
562,Escherichia coli,244320; 525281; 316385; 344610; 37762; 656419; 405955; 340197; 679205; 83333; 444454; 679206; 83334; 362663; 331111; 331112; 595496; 217992; 511145; 585034; 364106; 431946; 1432555; 749547; 481805; 199310; 439855; 469008; 550672; 316401; 562; 550676; 358709; 550677; 478005; 478006; 316407; 340184; 155864; 478008; 340185; 344601; 386585; 340186; 656380,584,bacterium,metaproteome,strong-blast-match,562,Escherichia coli,http://iedb.org/metaproteome/562,4307,126,4433,
573,Klebsiella pneumoniae,507522; 272620; 484021; 573,19,bacterium,metaproteome,strong-blast-match,573,Klebsiella pneumoniae,http://iedb.org/metaproteome/573,715,4415,5130,
584,Proteus mirabilis,529507; 584,6,bacterium,metaproteome,strong-blast-match,584,Proteus mirabilis,http://iedb.org/metaproteome/584,494,3167,3661,
615,Serratia marcescens,615,5,bacterium,metaproteome,strong-blast-match,615,Serratia marcescens,http://iedb.org/metaproteome/615,0,4352,4352,
621,Shigella boydii,344609; 300268; 621,24,bacterium,uniprot-complete,strong-blast-match,300268,Shigella boydii Sb227,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A300268,829,3109,3938,
622,Shigella dysenteriae (Escherichia/Shigella dysenteriae),300267; 622,9,bacterium,metaproteome,strong-blast-match,622,Shigella dysenteriae (Escherichia/Shigella dysenteriae),http://iedb.org/metaproteome/622,821,3076,3897,
623,Shigella flexneri (Escherichia/Shigella flexneri),198214; 198215; 373384; 591020; 424717; 424718; 623,42,bacterium,uniprot-complete,strong-blast-match,623,Shigella flexneri (Escherichia/Shigella flexneri),http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A623,1651,2964,4615,
624,Shigella sonnei,300269; 624,10,bacterium,uniprot-complete,strong-blast-match,300269,Shigella sonnei Ss046,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A300269,878,3190,4068,
630,Yersinia enterocolitica,913028; 34054; 630; 393305,48,bacterium,metaproteome,strong-blast-match,630,Yersinia enterocolitica,http://iedb.org/metaproteome/630,2,5289,5291,
632,Yersinia pestis,386656; 373665; 412420; 637382; 360102; 214092; 187410; 349746; 632; 375450; 377628,323,bacterium,metaproteome,strong-blast-match,632,Yersinia pestis,http://iedb.org/metaproteome/632,1018,2900,3918,
633,Yersinia pseudotuberculosis,273123; 502801; 349747; 633,16,bacterium,uniprot-complete,strong-blast-match,748672,Yersinia pseudotuberculosis str. PA3606,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A748672,0,4095,4095,
634,Yersinia bercovieri,349968,4,bacterium,uniprot-complete,strong-blast-match,634,Yersinia bercovieri,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A634,0,4074,4074,
636,Edwardsiella tarda,636,1,bacterium,uniprot-complete,strong-blast-match,718251,Edwardsiella tarda FL6-60,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A718251,6,3245,3251,
644,Aeromonas hydrophila,644,1,bacterium,metaproteome,strong-blast-match,644,Aeromonas hydrophila,http://iedb.org/metaproteome/644,464,3657,4121,
645,Aeromonas salmonicida,645; 29491,2,bacterium,uniprot-complete,strong-blast-match,382245,Aeromonas salmonicida subsp. salmonicida A449,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A382245,451,3876,4327,
659,Photobacterium phosphoreum,659,1,bacterium,uniprot-complete,strong-blast-match,1454202,Photobacterium phosphoreum ANT-2200,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A1454202,0,4617,4617,
661,Photobacterium angustum,314292,1,bacterium,metaproteome,strong-blast-match,661,Photobacterium angustum,http://iedb.org/metaproteome/661,0,4552,4552,
663,Vibrio alginolyticus,314288,5,bacterium,uniprot-complete,strong-blast-match,1219076,Vibrio alginolyticus NBRC 15630 = ATCC 17749 (Vibrio alginolyticus ATCC 17749 = NBRC 15630),http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A1219076,0,4661,4661,
666,Vibrio cholerae,45888; 675809; 412966; 412614; 412967; 243277; 404974; 686; 345072; 345073; 345074; 412883; 345075; 345076; 417398; 417399; 417400; 592313; 666,234,bacterium,metaproteome,strong-blast-match,666,Vibrio cholerae,http://iedb.org/metaproteome/666,1,4534,4535,
668,Aliivibrio fischeri,312309,1,bacterium,metaproteome,strong-blast-match,668,Aliivibrio fischeri,http://iedb.org/metaproteome/668,564,3249,3813,
670,Vibrio parahaemolyticus,419109; 223926; 627611; 563773; 670,172,bacterium,metaproteome,strong-blast-match,670,Vibrio parahaemolyticus,http://iedb.org/metaproteome/670,789,4033,4822,
671,Vibrio proteolyticus,671,1,bacterium,metaproteome,strong-blast-match,671,Vibrio proteolyticus,http://iedb.org/metaproteome/671,0,4347,4347,
672,Vibrio vulnificus,672; 196600; 216895,239,bacterium,metaproteome,strong-blast-match,672,Vibrio vulnificus,http://iedb.org/metaproteome/672,718,4287,5005,
674,Vibrio mimicus,674,1,bacterium,uniprot-complete,strong-blast-match,674,Vibrio mimicus,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A674,0,3764,3764,
703,Plesiomonas shigelloides,703,2,bacterium,metaproteome,strong-blast-match,703,Plesiomonas shigelloides,http://iedb.org/metaproteome/703,0,3377,3377,
714,Aggregatibacter actinomycetemcomitans,714,10,bacterium,metaproteome,strong-blast-match,714,Aggregatibacter actinomycetemcomitans,http://iedb.org/metaproteome/714,1,2277,2278,
715,Actinobacillus pleuropneumoniae,715; 416269; 228399; 537457,5,bacterium,metaproteome,strong-blast-match,715,Actinobacillus pleuropneumoniae,http://iedb.org/metaproteome/715,426,1579,2005,
727,Haemophilus influenzae,456482; 262727; 262728; 375432; 375177; 521004; 521005; 374927; 374928; 656913; 374931; 374932; 374933; 727; 71421,107,bacterium,metaproteome,strong-blast-match,727,Haemophilus influenzae,http://iedb.org/metaproteome/727,1707,7,1714,
730,[Haemophilus] ducreyi,730,2,bacterium,metaproteome,strong-blast-match,730,[Haemophilus] ducreyi,http://iedb.org/metaproteome/730,510,1184,1694,
731,Histophilus somni,205914,2,bacterium,metaproteome,strong-blast-match,731,Histophilus somni,http://iedb.org/metaproteome/731,378,1593,1971,
738,[Haemophilus] parasuis,738,1,bacterium,metaproteome,strong-blast-match,738,[Haemophilus] parasuis,http://iedb.org/metaproteome/738,293,1709,2002,
747,Pasteurella multocida,272843; 747; 44283,20,bacterium,metaproteome,strong-blast-match,747,Pasteurella multocida,http://iedb.org/metaproteome/747,776,1242,2018,
769,Anaplasma centrale,769; 574556,2,bacterium,uniprot-complete,strong-blast-match,574556,Anaplasma centrale str. Israel,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A574556,0,919,919,
770,Anaplasma marginale,770; 320483; 234826,25,bacterium,metaproteome,strong-blast-match,770,Anaplasma marginale,http://iedb.org/metaproteome/770,110,831,941,
774,Bartonella bacilliformis,360095,1,bacterium,metaproteome,strong-blast-match,774,Bartonella bacilliformis,http://iedb.org/metaproteome/774,258,997,1255,
777,Coxiella burnetii,777; 434922; 434923; 434924; 227377; 360115; 360116; 360117,301,bacterium,metaproteome,strong-blast-match,777,Coxiella burnetii,http://iedb.org/metaproteome/777,396,1439,1835,
779,Ehrlichia ruminantium (heartwater rickettsia),779,2,bacterium,metaproteome,strong-blast-match,779,Ehrlichia ruminantium (heartwater rickettsia),http://iedb.org/metaproteome/779,186,763,949,
781,Rickettsia conorii,781; 302011,18,bacterium,uniprot-complete,strong-blast-match,272944,Rickettsia conorii str. Malish 7,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A272944,497,875,1372,
782,Rickettsia prowazekii,782; 272947,37,bacterium,metaproteome,strong-blast-match,782,Rickettsia prowazekii,http://iedb.org/metaproteome/782,586,248,834,
783,Rickettsia rickettsii,783; 452659; 392021,5,bacterium,uniprot-complete,strong-blast-match,452659,Rickettsia rickettsii str. Iowa,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A452659,212,1172,1384,
784,Orientia tsutsugamushi,334380; 784; 357244,7,bacterium,metaproteome,strong-blast-match,784,Orientia tsutsugamushi,http://iedb.org/metaproteome/784,1,3695,3696,
785,Rickettsia typhi,785; 257363,12,bacterium,uniprot-complete,strong-blast-match,1003202,Rickettsia typhi str. B9991CWPP,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A1003202,0,838,838,
786,Rickettsia akari (rickettsialpox),293614,1,bacterium,uniprot-complete,strong-blast-match,293614,Rickettsia akari str. Hartford,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A293614,238,1019,1257,
787,Rickettsia australis,787,1,bacterium,uniprot-complete,strong-blast-match,1105110,Rickettsia australis str. Cutlack,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A1105110,0,1244,1244,
788,Rickettsia canadensis,788,2,bacterium,uniprot-complete,strong-blast-match,1105107,Rickettsia canadensis str. CA410,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A1105107,0,1014,1014,
813,Chlamydia trachomatis,759363; 813; 315277; 471472; 272561; 707186; 573237,105,bacterium,metaproteome,strong-blast-match,813,Chlamydia trachomatis,http://iedb.org/metaproteome/813,415,483,898,
817,Bacteroides fragilis,295405,1,bacterium,metaproteome,strong-blast-match,817,Bacteroides fragilis,http://iedb.org/metaproteome/817,313,3921,4234,
818,Bacteroides thetaiotaomicron,226186,1,bacterium,metaproteome,strong-blast-match,818,Bacteroides thetaiotaomicron,http://iedb.org/metaproteome/818,370,4412,4782,
837,Porphyromonas gingivalis,837; 431947; 1125722; 242619,29,bacterium,metaproteome,strong-blast-match,837,Porphyromonas gingivalis,http://iedb.org/metaproteome/837,283,1586,1869,
851,Fusobacterium nucleatum (Fusibacterium nucleatum),469601; 209882,3,bacterium,metaproteome,strong-blast-match,851,Fusobacterium nucleatum (Fusibacterium nucleatum),http://iedb.org/metaproteome/851,0,2239,2239,
891,Desulfuromonas acetoxidans,281689,1,bacterium,metaproteome,strong-blast-match,891,Desulfuromonas acetoxidans,http://iedb.org/metaproteome/891,0,3204,3204,
920,Acidithiobacillus ferrooxidans,920,1,bacterium,metaproteome,strong-blast-match,920,Acidithiobacillus ferrooxidans,http://iedb.org/metaproteome/920,211,2909,3120,
944,Ehrlichia canis,269484; 944,3,bacterium,uniprot-complete,strong-blast-match,269484,Ehrlichia canis str. Jake,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A269484,189,732,921,
945,Ehrlichia chaffeensis,205920; 945,6,bacterium,metaproteome,strong-blast-match,945,Ehrlichia chaffeensis,http://iedb.org/metaproteome/945,187,913,1100,
948,Anaplasma phagocytophilum (agent of human granulocytic ehrlichiosis),212042; 948,7,bacterium,metaproteome,strong-blast-match,948,Anaplasma phagocytophilum (agent of human granulocytic ehrlichiosis),http://iedb.org/metaproteome/948,160,1170,1330,
985,Cytophaga hutchinsonii,269798,2,bacterium,metaproteome,strong-blast-match,985,Cytophaga hutchinsonii,http://iedb.org/metaproteome/985,247,3524,3771,
1006,Marivirga tractuosa,1006,1,bacterium,metaproteome,strong-blast-match,1006,Marivirga tractuosa,http://iedb.org/metaproteome/1006,0,3748,3748,
1018,Capnocytophaga ochracea,521097,2,bacterium,metaproteome,strong-blast-match,1018,Capnocytophaga ochracea,http://iedb.org/metaproteome/1018,0,2171,2171,
1022,Beggiatoa alba,1022,1,bacterium,metaproteome,strong-blast-match,1022,Beggiatoa alba,http://iedb.org/metaproteome/1022,0,3440,3440,
1027,Microscilla marina,313606,1,bacterium,metaproteome,strong-blast-match,1027,Microscilla marina,http://iedb.org/metaproteome/1027,0,8248,8248,
1063,Rhodobacter sphaeroides,557760; 349101; 272943,3,bacterium,metaproteome,strong-blast-match,1063,Rhodobacter sphaeroides,http://iedb.org/metaproteome/1063,459,1205,1664,
1076,Rhodopseudomonas palustris,1076; 316056,2,bacterium,metaproteome,strong-blast-match,1076,Rhodopseudomonas palustris,http://iedb.org/metaproteome/1076,0,5581,5581,
1102,Prosthecochloris aestuarii,290512,1,bacterium,metaproteome,strong-blast-match,1102,Prosthecochloris aestuarii,http://iedb.org/metaproteome/1102,234,2085,2319,
1108,Chloroflexus aurantiacus,324602,1,bacterium,metaproteome,strong-blast-match,1108,Chloroflexus aurantiacus,http://iedb.org/metaproteome/1108,235,3615,3850,
1148,Synechocystis sp. PCC 6803,1148,2,bacterium,metaproteome,strong-blast-match,1148,Synechocystis sp. PCC 6803,http://iedb.org/metaproteome/1148,1044,2463,3507,
1206,Trichodesmium erythraeum,203124,3,bacterium,metaproteome,strong-blast-match,1206,Trichodesmium erythraeum,http://iedb.org/metaproteome/1206,346,3996,4342,
1219,Prochlorococcus marinus,93058,1,bacterium,metaproteome,strong-blast-match,1219,Prochlorococcus marinus,http://iedb.org/metaproteome/1219,376,1566,1942,
1254,Pediococcus acidilactici,1254,1,bacterium,metaproteome,strong-blast-match,1254,Pediococcus acidilactici,http://iedb.org/metaproteome/1254,0,1885,1885,
1260,Finegoldia magna,1260; 334413,2,bacterium,metaproteome,strong-blast-match,1260,Finegoldia magna,http://iedb.org/metaproteome/1260,171,1642,1813,
1265,Ruminococcus flavefaciens,641112,1,bacterium,metaproteome,strong-blast-match,1265,Ruminococcus flavefaciens,http://iedb.org/metaproteome/1265,0,3184,3184,
1270,Micrococcus luteus,1270,3,bacterium,metaproteome,strong-blast-match,1270,Micrococcus luteus,http://iedb.org/metaproteome/1270,139,2069,2208,
1280,Staphylococcus aureus,1280; 93061; 93062; 196620; 553583; 1417139; 548470; 282458; 158878; 426430; 158879,69,bacterium,metaproteome,strong-blast-match,1280,Staphylococcus aureus,http://iedb.org/metaproteome/1280,741,2155,2896,
1282,Staphylococcus epidermidis,525374,1,bacterium,metaproteome,strong-blast-match,1282,Staphylococcus epidermidis,http://iedb.org/metaproteome/1282,759,1733,2492,
1303,Streptococcus oralis,1303,2,bacterium,uniprot-complete,strong-blast-match,1282664,Streptococcus oralis subsp. tigurinus AZ_3a,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A1282664,0,2114,2114,
1305,Streptococcus sanguinis,388919; 1305,2,bacterium,uniprot-complete,strong-blast-match,1305,Streptococcus sanguinis,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A1305,0,4107,4107,
1307,Streptococcus suis,1307,1,bacterium,metaproteome,strong-blast-match,1307,Streptococcus suis,http://iedb.org/metaproteome/1307,226,1952,2178,
1309,Streptococcus mutans,210007; 1309,12,bacterium,metaproteome,strong-blast-match,1309,Streptococcus mutans,http://iedb.org/metaproteome/1309,451,1502,1953,
1310,Streptococcus sobrinus,1310,4,bacterium,metaproteome,strong-blast-match,1310,Streptococcus sobrinus,http://iedb.org/metaproteome/1310,0,2210,2210,
1311,Streptococcus agalactiae,211110; 208435; 342614; 1311,6,bacterium,metaproteome,strong-blast-match,1311,Streptococcus agalactiae,http://iedb.org/metaproteome/1311,386,1719,2105,
1313,Streptococcus pneumoniae,406560; 1313; 373153; 170187; 453366; 171101,51,bacterium,metaproteome,strong-blast-match,1313,Streptococcus pneumoniae,http://iedb.org/metaproteome/1313,477,1564,2041,
1314,Streptococcus pyogenes,562017; 1314; 1115815; 301449; 301450; 160490; 160491; 286636; 1115822; 1115825; 561522; 370553; 370554,167,bacterium,metaproteome,strong-blast-match,1314,Streptococcus pyogenes,http://iedb.org/metaproteome/1314,429,1278,1707,
1317,Streptococcus downei (Streptococcus downensis),1317,1,bacterium,uniprot-complete,strong-blast-match,904293,Streptococcus downei F0415,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A904293,0,2190,2190,
1320,Streptococcus sp. 'group G',1320,3,bacterium,uniprot-misc,strong-blast-match,1320,Streptococcus sp. 'group G',http://www.uniprot.org/uniprot/?query=taxonomy%3A1320,2,72,74,
1323,Faecalicoccus pleomorphus,1323,1,bacterium,uniprot-misc,strong-blast-match,1323,Faecalicoccus pleomorphus,http://www.uniprot.org/uniprot/?query=taxonomy%3A1323,0,4,4,
1325,Streptococcus sp. GX7805,1325,1,bacterium,,,,,,,,,storage/proteomes/.fasta (No such file or directory)
1329,Streptococcus canis,1329,1,bacterium,uniprot-complete,strong-blast-match,482234,Streptococcus canis FSL Z3-227,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A482234,0,2196,2196,
1334,Streptococcus dysgalactiae,486410; 119602; 1334,7,bacterium,uniprot-complete,strong-blast-match,759913,Streptococcus dysgalactiae subsp. equisimilis AC-2713,http://www.uniprot.org/uniprot/?query=keyword%3A181+AND+organism%3A759913,0,2195,2195,
1336,Streptococcus equi,1336,3,bacterium,metaproteome,strong-blast-match,1336,Streptococcus equi,http://iedb.org/metaproteome/1336,0,4667,4667,
1349,Streptococcus uberis,1349,3,bacterium,metaproteome,strong-blast-match,1349,Streptococcus uberis,http://iedb.org/metaproteome/1349,271,1489,1760,
1351,Enterococcus faecalis,1351,1,bacterium,metaproteome,strong-blast-match,1351,Enterococcus faecalis,http://iedb.org/metaproteome/1351,1,3105,3106,
1352,Enterococcus faecium,1352; 333849; 525279,4,bacterium,metaproteome,strong-blast-match,1352,Enterococcus faecium,http://iedb.org/metaproteome/1352,0,3059,3059,
1358,Lactococcus lactis,684738; 272622; 272623,3,bacterium,metaproteome,strong-blast-match,1358,Lactococcus lactis,http://iedb.org/metaproteome/1358,534,1691,2225,
