Species Key	Species ID	Species Label	Active Taxa	Group
820-Bacteroides-uniformis	820	Bacteroides uniformis	820	bacterium
821-Phocaeicola-vulgatus	821	Phocaeicola vulgatus	821	bacterium
823-Parabacteroides-distasonis	823	Parabacteroides distasonis	823	bacterium
837-Porphyromonas-gingivalis	837	Porphyromonas gingivalis	837, 242619, 10001223, 1403335, 431947, 1125722, 10001081	bacterium
851-Fusobacterium-nucleatum-Fusibacterium-nucleatum	851	Fusobacterium nucleatum (Fusibacterium nucleatum)	851	bacterium
853-Faecalibacterium-prausnitzii	853	Faecalibacterium prausnitzii	853	bacterium
891-Desulfuromonas-acetoxidans	891	Desulfuromonas acetoxidans	281689	bacterium
907-Megasphaera-elsdenii	907	Megasphaera elsdenii	907	bacterium
920-Acidithiobacillus-ferrooxidans	920	Acidithiobacillus ferrooxidans	920	bacterium
944-Ehrlichia-canis	944	Ehrlichia canis	944, 269484	bacterium
945-Ehrlichia-chaffeensis	945	Ehrlichia chaffeensis	205920, 945	bacterium
947-Ehrlichia-ewingii	947	Ehrlichia ewingii	947	bacterium
948-Anaplasma-phagocytophilum-agent-of-human-granulocytic-ehrlichiosis	948	Anaplasma phagocytophilum (agent of human granulocytic ehrlichiosis)	948, 212042	bacterium
955-Wolbachia-pipientis	955	Wolbachia pipientis	955	bacterium
985-Cytophaga-hutchinsonii	985	Cytophaga hutchinsonii	269798	bacterium
1006-Marivirga-tractuosa	1006	Marivirga tractuosa	1006	bacterium
1018-Capnocytophaga-ochracea	1018	Capnocytophaga ochracea	1018	bacterium
1019-Capnocytophaga-sputigena	1019	Capnocytophaga sputigena	1019	bacterium
1022-Beggiatoa-alba	1022	Beggiatoa alba	1022	bacterium
1027-Microscilla-marina	1027	Microscilla marina	313606	bacterium
1063-Cereibacter-sphaeroides	1063	Cereibacter sphaeroides	272943, 1063, 349101	bacterium
1076-Rhodopseudomonas-palustris	1076	Rhodopseudomonas palustris	1076, 316056	bacterium
1102-Prosthecochloris-aestuarii	1102	Prosthecochloris aestuarii	290512	bacterium
1108-Chloroflexus-aurantiacus	1108	Chloroflexus aurantiacus	324602	bacterium
1126-Microcystis-aeruginosa	1126	Microcystis aeruginosa	1126	bacterium
1206-Trichodesmium-erythraeum	1206	Trichodesmium erythraeum	203124	bacterium
1245-Leuconostoc-mesenteroides	1245	Leuconostoc mesenteroides	1245	bacterium
1254-Pediococcus-acidilactici	1254	Pediococcus acidilactici	1254	bacterium
1260-Finegoldia-magna	1260	Finegoldia magna	1260	bacterium
1265-Ruminococcus-flavefaciens	1265	Ruminococcus flavefaciens	1265	bacterium
1270-Micrococcus-luteus	1270	Micrococcus luteus	1270	bacterium
1280-Staphylococcus-aureus	1280	Staphylococcus aureus	196620, 282458, 548470, 10002122, 10002129, 10001662, 359787, 451515, 367830, 10002121, 1193576, 93062, 158879, 548473, 451516, 93061, 1458279, 553583, 426430, 1280	bacterium
1282-Staphylococcus-epidermidis	1282	Staphylococcus epidermidis	176279, 1282, 525374, 1236978	bacterium
1292-Staphylococcus-warneri	1292	Staphylococcus warneri	1292	bacterium
1299-Deinococcus-radiodurans-Deinococcus-radiidurans	1299	Deinococcus radiodurans (Deinococcus radiidurans)	1299, 243230	bacterium
1302-Streptococcus-gordonii	1302	Streptococcus gordonii	1302	bacterium
1303-Streptococcus-oralis	1303	Streptococcus oralis	1303	bacterium
1304-Streptococcus-salivarius	1304	Streptococcus salivarius	10001975, 1304	bacterium
1305-Streptococcus-sanguinis	1305	Streptococcus sanguinis	1305, 10001439	bacterium
1307-Streptococcus-suis	1307	Streptococcus suis	1307, 10002192, 1184252, 1214154, 1214159	bacterium
1309-Streptococcus-mutans	1309	Streptococcus mutans	1309, 1198676, 857099, 10000773	bacterium
1310-Streptococcus-sobrinus	1310	Streptococcus sobrinus	246202, 1310	bacterium
1311-Streptococcus-agalactiae	1311	Streptococcus agalactiae	208435, 216495, 10001795, 1311, 342614, 216466, 342615, 10001900, 342617, 355315, 342613, 211110	bacterium
1313-Streptococcus-pneumoniae	1313	Streptococcus pneumoniae	216600, 914129, 10002314, 10001687, 10001686, 373153, 10001645, 1313, 10001730, 10002272, 10001801, 170187, 10001646, 10001731, 10001833, 10001651, 10001644, 171101, 10001638, 10002161, 10001834, 10001792	bacterium
1314-Streptococcus-pyogenes	1314	Streptococcus pyogenes	342023, 1207470, 10000790, 301449, 10000797, 160491, 1314, 301450, 10000777, 301448, 301451, 10000778, 10000786, 10000796, 10000792, 286636, 10000542, 186103, 10000785, 404330, 10000780, 301452, 404331, 10000779, 10000782, 10000824, 10000788, 10000775, 410069, 10000776, 10000789, 10000798, 10000794, 10000791, 10000781, 10000783, 10000784, 10000787, 10000795, 10000793, 160490	bacterium
1317-Streptococcus-downei-Streptococcus-downensis	1317	Streptococcus downei (Streptococcus downensis)	1317	bacterium
1319-Streptococcus-sp-group-B	1319	Streptococcus sp. 'group B'	1319	bacterium
1320-Streptococcus-sp-group-G	1320	Streptococcus sp. 'group G'	1320	bacterium
1328-Streptococcus-anginosus	1328	Streptococcus anginosus	10001663	bacterium
1334-Streptococcus-dysgalactiae	1334	Streptococcus dysgalactiae	1334, 10001676, 119602, 10001641	bacterium
1336-Streptococcus-equi	1336	Streptococcus equi	1336	bacterium
1338-Streptococcus-intermedius	1338	Streptococcus intermedius	1338	bacterium
1349-Streptococcus-uberis	1349	Streptococcus uberis	1349	bacterium
1351-Enterococcus-faecalis	1351	Enterococcus faecalis	1351	bacterium
1352-Enterococcus-faecium	1352	Enterococcus faecium	333849, 1352	bacterium
1358-Lactococcus-lactis	1358	Lactococcus lactis	1358	bacterium
1390-Bacillus-amyloliquefaciens	1390	Bacillus amyloliquefaciens	1390	bacterium
1392-Bacillus-anthracis-anthrax	1392	Bacillus anthracis (anthrax)	592021, 191218, 486621, 405536, 486620, 568206, 260799, 486619, 212045, 10000291, 486623, 486624, 1392, 198094, 261594	bacterium
1396-Bacillus-cereus	1396	Bacillus cereus	405532, 526979, 451707, 526977, 226900, 451709, 526974, 269801, 405917, 572264, 347495, 451708, 1396, 405533, 405531	bacterium
1402-Bacillus-licheniformis	1402	Bacillus licheniformis	1402	bacterium
1404-Priestia-megaterium	1404	Priestia megaterium	1404	bacterium
1405-Bacillus-mycoides	1405	Bacillus mycoides	1405, 315730	bacterium
1406-Paenibacillus-polymyxa	1406	Paenibacillus polymyxa	1406	bacterium
1408-Bacillus-pumilus	1408	Bacillus pumilus	1408	bacterium
1422-Geobacillus-stearothermophilus	1422	Geobacillus stearothermophilus	1422	bacterium
1423-Bacillus-subtilis	1423	Bacillus subtilis	535026, 224308, 1423	bacterium
1428-Bacillus-thuringiensis	1428	Bacillus thuringiensis	1435, 527024, 1428, 339854, 412694, 29339, 527026	bacterium
1454-Schinkia-azotoformans-Bacillus-azotiformans	1454	Schinkia azotoformans (Bacillus azotiformans)	1454	bacterium
1467-Lederbergia-lenta	1467	Lederbergia lenta	1467	bacterium
1488-Clostridium-acetobutylicum	1488	Clostridium acetobutylicum	272562	bacterium
1491-Clostridium-botulinum	1491	Clostridium botulinum	10000297, 36830, 36826, 441771, 413999, 36827, 508767, 10000306, 935198, 10000304, 36829, 10000301, 1491, 10000294, 445338, 10000295, 10000303, 36831, 10000299, 10000293, 10000296, 10000305, 445335, 10000302	bacterium
1492-Clostridium-butyricum	1492	Clostridium butyricum	1492	bacterium
1496-Clostridium-difficile	1496	Clostridium difficile	645463, 10002079, 272563, 10001847, 1169127, 10000307, 1496	bacterium
1502-Clostridium-perfringens	1502	Clostridium perfringens	107819, 195102, 1502	bacterium
1513-Clostridium-tetani	1513	Clostridium tetani	1513, 212717	bacterium
1515-Acetivibrio-thermocellus	1515	Acetivibrio thermocellus	203119	bacterium
1520-Clostridium-beijerinckii	1520	Clostridium beijerinckii	290402, 1520	bacterium
1525-Moorella-thermoacetica	1525	Moorella thermoacetica	264732	bacterium
1531-Enterocloster-clostridioformis	1531	Enterocloster clostridioformis	1531	bacterium
1542-Clostridium-novyi	1542	Clostridium novyi	386415	bacterium
1582-Lacticaseibacillus-casei	1582	Lacticaseibacillus casei	1582, 1423732	bacterium
1584-Lactobacillus-delbrueckii	1584	Lactobacillus delbrueckii	1585, 390333	bacterium
1590-Lactiplantibacillus-plantarum	1590	Lactiplantibacillus plantarum	1590	bacterium
1599-Latilactobacillus-sakei	1599	Latilactobacillus sakei	1599	bacterium
1604-Lactobacillus-amylovorus	1604	Lactobacillus amylovorus	1604	bacterium
1605-Ligilactobacillus-animalis	1605	Ligilactobacillus animalis	1605	bacterium
1613-Limosilactobacillus-fermentum	1613	Limosilactobacillus fermentum	1613	bacterium
1622-Ligilactobacillus-murinus	1622	Ligilactobacillus murinus	1235801	bacterium
1638-Listeria-ivanovii	1638	Listeria ivanovii	1638	bacterium
1639-Listeria-monocytogenes	1639	Listeria monocytogenes	552536, 267409, 568819, 10000309, 1639, 393130, 393125, 393117, 401650, 393124, 169963, 267410, 393126, 265669, 10000308, 393128, 393133	bacterium
1640-Listeria-seeligeri	1640	Listeria seeligeri	1640	bacterium
1641-Listeria-grayi	1641	Listeria grayi	1641	bacterium
1642-Listeria-innocua	1642	Listeria innocua	1642	bacterium
1643-Listeria-welshimeri	1643	Listeria welshimeri	386043	bacterium
1646-Renibacterium-salmoninarum	1646	Renibacterium salmoninarum	1646	bacterium
1660-Schaalia-odontolytica	1660	Schaalia odontolytica	1660	bacterium
1661-Trueperella-pyogenes	1661	Trueperella pyogenes	1661, 10000980	bacterium
1664-Arthrobacter-glacialis	1664	Arthrobacter glacialis	1664	bacterium
1681-Bifidobacterium-bifidum	1681	Bifidobacterium bifidum	1681	bacterium
1685-Bifidobacterium-breve	1685	Bifidobacterium breve	1685	bacterium
1717-Corynebacterium-diphtheriae	1717	Corynebacterium diphtheriae	1717, 257309	bacterium
1718-Corynebacterium-glutamicum	1718	Corynebacterium glutamicum	340322, 196627, 1718	bacterium
1719-Corynebacterium-pseudotuberculosis	1719	Corynebacterium pseudotuberculosis	1719	bacterium
1744-Propionibacterium-freudenreichii	1744	Propionibacterium freudenreichii	1752	bacterium
1747-Cutibacterium-acnes-Propionicibacterium-acnes	1747	Cutibacterium acnes (Propionicibacterium acnes)	1091045, 1747	bacterium
1764-Mycobacterium-avium	1764	Mycobacterium avium	262316, 10000316, 1391998, 10000319, 10000328, 10000313, 10000317, 1770, 10000320, 10000318, 1764, 243243, 10001884, 10000314	bacterium
1766-Mycolicibacterium-fortuitum	1766	Mycolicibacterium fortuitum	1766, 144549	bacterium
1767-Mycobacterium-intracellulare	1767	Mycobacterium intracellulare	1767, 487521	bacterium
1768-Mycobacterium-kansasii	1768	Mycobacterium kansasii	557599, 1768	bacterium
1769-Mycobacterium-leprae	1769	Mycobacterium leprae	272631, 1769	bacterium
1771-Mycolicibacterium-phlei	1771	Mycolicibacterium phlei	1771	bacterium
1772-Mycolicibacterium-smegmatis	1772	Mycolicibacterium smegmatis	246196, 1772	bacterium
1773-Mycobacterium-tuberculosis	1773	Mycobacterium tuberculosis	1389959, 1773, 410289, 515617, 336982, 1765, 10000329, 419947, 10000323, 443149, 395095, 652616, 182785, 83331, 83332, 348776, 233413, 561275, 33892	bacterium
1774-Mycobacteroides-chelonae	1774	Mycobacteroides chelonae	1774	bacterium
1777-Mycobacterium-gastri	1777	Mycobacterium gastri	10000331	bacterium
1778-Mycobacterium-gordonae	1778	Mycobacterium gordonae	1778	bacterium
1781-Mycobacterium-marinum	1781	Mycobacterium marinum	216594, 1781	bacterium
1783-Mycobacterium-scrofulaceum	1783	Mycobacterium scrofulaceum	1783	bacterium
1795-Mycolicibacterium-neoaurum	1795	Mycolicibacterium neoaurum	1795	bacterium
1804-Mycolicibacterium-gilvum	1804	Mycolicibacterium gilvum	350054, 1804, 278137	bacterium
1809-Mycobacterium-ulcerans	1809	Mycobacterium ulcerans	362242, 1809	bacterium
1828-Rhodococcus-fascians	1828	Rhodococcus fascians	1828	bacterium
1830-Rhodococcus-ruber	1830	Rhodococcus ruber	1830	bacterium
1833-Rhodococcus-erythropolis	1833	Rhodococcus erythropolis	1833	bacterium
1836-Saccharopolyspora-erythraea	1836	Saccharopolyspora erythraea	1836	bacterium
1895-Streptomyces-avidinii-Streptomyces-avidini	1895	Streptomyces avidinii (Streptomyces avidini)	1895	bacterium
1902-Streptomyces-coelicolor	1902	Streptomyces coelicolor	100226, 1902	bacterium
1916-Streptomyces-lividans	1916	Streptomyces lividans	1916	bacterium
1943-Streptomyces-griseoruber-Streptomyces-griseiruber	1943	Streptomyces griseoruber (Streptomyces griseiruber)	1943	bacterium
1946-Streptomyces-kasugaensis-Streptomyces-kasugensis	1946	Streptomyces kasugaensis (Streptomyces kasugensis)	1946	bacterium
2021-Thermobifida-fusca	2021	Thermobifida fusca	269800	bacterium
2039-Tropheryma-whipplei	2039	Tropheryma whipplei	2039	bacterium
2066-Kitasatospora-setae	2066	Kitasatospora setae	452652	bacterium
2096-Mycoplasmoides-gallisepticum	2096	Mycoplasmoides gallisepticum	1006581	bacterium
2097-Mycoplasmoides-genitalium	2097	Mycoplasmoides genitalium	243273, 2097	bacterium
2099-Mesomycoplasma-hyopneumoniae	2099	Mesomycoplasma hyopneumoniae	262722, 295358, 2099, 754503	bacterium
2100-Mesomycoplasma-hyorhinis	2100	Mesomycoplasma hyorhinis	2100	bacterium
2104-Mycoplasmoides-pneumoniae-Filterable-agent-of-primary-atypical-pneumonia	2104	Mycoplasmoides pneumoniae (Filterable agent of primary atypical pneumonia)	722438, 2104, 272634	bacterium
2110-Mycoplasmopsis-agalactiae	2110	Mycoplasmopsis agalactiae	347257	bacterium
2133-Spiroplasma-citri	2133	Spiroplasma citri	2133	bacterium
2148-Acholeplasma-laidlawii	2148	Acholeplasma laidlawii	2148	bacterium
2173-Methanobrevibacter-smithii	2173	Methanobrevibacter smithii	2173	archeobacterium
2190-Methanocaldococcus-jannaschii	2190	Methanocaldococcus jannaschii	243232, 2190	archeobacterium
2234-Archaeoglobus-fulgidus	2234	Archaeoglobus fulgidus	2234	archeobacterium
2238-Haloarcula-marismortui	2238	Haloarcula marismortui	272569	archeobacterium
2242-Halobacterium-salinarum	2242	Halobacterium salinarum	2242	archeobacterium
2261-Pyrococcus-furiosus	2261	Pyrococcus furiosus	2261	archeobacterium
2287-Saccharolobus-solfataricus	2287	Saccharolobus solfataricus	2287	archeobacterium
2336-Thermotoga-maritima	2336	Thermotoga maritima	243274, 2336	bacterium
2439-Plasmid-ColB2	2439	Plasmid ColB2	2439	other
2465-Plasmid-F	2465	Plasmid F	2465	other
2702-Gardnerella-vaginalis	2702	Gardnerella vaginalis	2702	bacterium
2711-Citrus-sinensis-Valencia-orange	2711	Citrus sinensis (Valencia orange)	2711	plant
2736-Verrucomicrobium-spinosum	2736	Verrucomicrobium spinosum	2736	bacterium
2903-Emiliania-huxleyi	2903	Emiliania huxleyi	2903, 280463	other-eukaryote
3039-Euglena-gracilis	3039	Euglena gracilis	3039	other-eukaryote
3055-Chlamydomonas-reinhardtii	3055	Chlamydomonas reinhardtii	3055	other-eukaryote
3067-Volvox-carteri	3067	Volvox carteri	3068	other-eukaryote
3346-Pinus-pinea-parasol-pine	3346	Pinus pinea (parasol pine)	3346	plant
3352-Pinus-taeda-loblolly-pine	3352	Pinus taeda (loblolly pine)	3352	plant
3369-Cryptomeria-japonica-Japanese-cedar	3369	Cryptomeria japonica (Japanese cedar)	3369	plant
3469-Papaver-somniferum-opium-poppy	3469	Papaver somniferum (opium poppy)	3469	plant
3505-Betula-pendula-European-white-birch	3505	Betula pendula (European white birch)	3505	plant
3513-Quercus-alba-white-oak	3513	Quercus alba (white oak)	3513	plant
3517-Alnus-glutinosa	3517	Alnus glutinosa	3517	plant
3559-Chenopodium-album-lambs-quarters	3559	Chenopodium album (lamb's-quarters)	3559	plant
3562-Spinacia-oleracea-Spinacea-oleracea	3562	Spinacia oleracea (Spinacea oleracea)	3562	plant
3567-Amaranthus-caudatus-Inca-wheat	3567	Amaranthus caudatus (Inca-wheat)	3567	plant
3617-Fagopyrum-esculentum-common-buckwheat	3617	Fagopyrum esculentum (common buckwheat)	3617	plant
3625-Actinidia-chinensis-golden-kiwifruit	3625	Actinidia chinensis (golden kiwifruit)	3625	plant
3645-Bertholletia-excelsa-Brazil-nut	3645	Bertholletia excelsa (Brazil nut)	3645	plant
3656-Cucumis-melo-Oriental-melon	3656	Cucumis melo (Oriental melon)	3656	plant
3677-Trichosanthes-kirilowii-Mongolian-snake-gourd	3677	Trichosanthes kirilowii (Mongolian snake-gourd)	3677	plant
3702-Arabidopsis-thaliana-mouse-ear-cress	3702	Arabidopsis thaliana (mouse-ear cress)	3702	plant
