Species Taxon ID	Species Name	Proteome ID	Proteome Taxon	Proteome Type	Source Count	Epitope Count	Successful Source Assignment	Successful Epitope Assignment
747	Pasteurella multocida	UP000000809	272843	Representative	18	18	100.0	83.3333333333333
769	Anaplasma centrale	UP000000630	574556	Other	3	4	100.0	100.0
770	Anaplasma marginale	UP000007307	320483	Representative	28	248	100.0	64.5161290322581
774	Bartonella bacilliformis	UP000000643	360095	Representative	3	36	100.0	77.7777777777778
777	Coxiella burnetii	UP000002671	227377	Representative	409	777	96.3325183374083	91.3770913770914
779	Ehrlichia ruminantium	UP000001021	254945	Non-redundant	14	45	92.8571428571429	93.3333333333333
781	Rickettsia conorii	UP000000816	272944	Non-redundant	18	21	100.0	90.4761904761905
782	Rickettsia prowazekii	UP000002480	272947	Representative	37	39	100.0	100.0
783	Rickettsia rickettsii	UP000006832	392021	Non-redundant	9	96	100.0	100.0
784	Orientia tsutsugamushi	UP000001565	357244	Representative	7	167	85.7142857142857	91.0179640718563
785	Rickettsia typhi	UP000000604	257363	Non-redundant	12	12	100.0	100.0
786	Rickettsia akari	UP000006830	293614	Other	1	1	100.0	100.0
787	Rickettsia australis	UP000007589	1105110	Other	1	1	100.0	100.0
788	Rickettsia canadensis	UP000007056	293613	Non-redundant	2	2	100.0	100.0
813	Chlamydia trachomatis	UP000000431	272561	Representative	183	966	97.8142076502732	77.9503105590062
817	Bacteroides fragilis	UP000006731	272559	Representative	9	124	88.8888888888889	96.7741935483871
818	Bacteroides thetaiotaomicron	UP000001414	226186	Representative	2	2	100.0	50.0
820	Bacteroides uniformis	UP000014212	1235787	Representative	1	1	100.0	0.0
821	Phocaeicola vulgatus	UP000002861	435590	Representative	18	22	88.8888888888889	54.5454545454545
823	Parabacteroides distasonis	UP000000566	435591	Representative	1	1	100.0	0.0
837	Porphyromonas gingivalis	UP000000588	242619	Representative	32	474	96.875	51.6877637130802
851	Fusobacterium nucleatum	UP000002521	190304	Representative	101	143	93.0693069306931	74.1258741258741
853	Faecalibacterium prausnitzii	UP000095722	853	Representative	3	3	100.0	66.6666666666667
891	Desulfuromonas acetoxidans	UP000005695	281689	Representative	1	1	100.0	100.0
920	Acidithiobacillus ferrooxidans	UP000001362	243159	Representative	1	1	100.0	100.0
944	Ehrlichia canis	UP000000435	269484	Non-redundant	4	25	100.0	100.0
945	Ehrlichia chaffeensis	UP000008320	205920	Representative	6	44	100.0	100.0
947	Ehrlichia ewingii		947	All-proteins	1	1	100.0	100.0
948	Anaplasma phagocytophilum	UP000055047	948	Representative	15	75	100.0	25.3333333333333
955	Wolbachia pipientis	UP000175679	955	Representative	1	1	100.0	0.0
985	Cytophaga hutchinsonii	UP000001822	269798	Representative	2	2	100.0	100.0
1006	Marivirga tractuosa	UP000008720	643867	Representative	2	2	100.0	100.0
1019	Capnocytophaga sputigena	UP000217301	1019	Non-redundant	1	1	100.0	100.0
1022	Beggiatoa alba	UP000005744	395493	Representative	1	1	100.0	100.0
1027	Microscilla marina	UP000004095	313606	Representative	1	1	100.0	100.0
1063	Cereibacter sphaeroides	UP000002703	272943	Representative	3	3	100.0	100.0
1076	Rhodopseudomonas palustris	UP000001426	258594	Representative	2	3	100.0	33.3333333333333
1102	Prosthecochloris aestuarii	UP000002725	290512	Representative	1	1	100.0	100.0
1108	Chloroflexus aurantiacus	UP000002008	324602	Representative	1	1	100.0	100.0
1206	Trichodesmium erythraeum		1206	All-proteins	3	3	100.0	100.0
1254	Pediococcus acidilactici	UP000004470	862514	Representative	1	1	0.0	0.0
1260	Finegoldia magna	UP000001319	334413	Representative	2	2	100.0	50.0
1270	Micrococcus luteus	UP000000738	465515	Representative	1	1	100.0	100.0
1280	Staphylococcus aureus	UP000008816	93061	Representative	127	1176	96.8503937007874	71.7687074829932
1282	Staphylococcus epidermidis	UP000000531	176279	Reference	2	2	100.0	100.0
1292	Staphylococcus warneri	UP000039018	1292	Non-redundant	1	1	100.0	100.0
1299	Deinococcus radiodurans	UP000002524	243230	Representative	2	5	100.0	100.0
1302	Streptococcus gordonii	UP000001131	467705	Representative	5	5	100.0	80.0
1303	Streptococcus oralis	UP000071369	1303	Non-redundant	3	12	100.0	75.0
1307	Streptococcus suis	UP000009077	568814	Representative	2	12	100.0	100.0
1309	Streptococcus mutans	UP000002512	210007	Representative	11	390	100.0	87.4358974358974
1310	Streptococcus sobrinus	UP000016617	1227275	Non-redundant	3	8	100.0	50.0
1311	Streptococcus agalactiae	UP000000821	208435	Representative	10	17	100.0	94.1176470588235
1313	Streptococcus pneumoniae	UP000000586	171101	Representative	66	659	100.0	45.5235204855842
1314	Streptococcus pyogenes	UP000000750	301447	Representative	195	7636	99.4871794871795	94.1068622315348
1317	Streptococcus downei	UP000254082	764290	Representative	1	2	100.0	100.0
1320	Streptococcus sp. group G		1320	All-proteins	3	95	66.6666666666667	75.7894736842105
1334	Streptococcus dysgalactiae	UP000503331	119602	Non-redundant	9	55	100.0	85.4545454545455
1336	Streptococcus equi	UP000001365	553482	Non-redundant	2	37	100.0	75.6756756756757
1338	Streptococcus intermedius	UP000016233	862967	Representative	1	1	100.0	100.0
1349	Streptococcus uberis	UP000000449	218495	Representative	2	10	100.0	80.0
1351	Enterococcus faecalis	UP000001415	226185	Representative	1	1	100.0	100.0
1352	Enterococcus faecium	UP000003429	749522	Non-redundant	3	6	66.6666666666667	83.3333333333333
1359	Lactococcus cremoris	UP000015854	1234876	Representative	1	1	100.0	100.0
1390	Bacillus amyloliquefaciens	UP000276875	1390	Non-redundant	3	130	100.0	93.8461538461538
1392	Bacillus anthracis	UP000000594	1392	Reference	204	2095	99.5098039215687	97.5178997613365
1396	Bacillus cereus	UP000001417	226900	Representative	94	108	94.6808510638298	66.6666666666667
1402	Bacillus licheniformis	UP000000606	279010	Representative	11	256	100.0	87.5
1404	Priestia megaterium	UP000000935	545693	Representative	7	7	100.0	42.8571428571429
1405	Bacillus mycoides	UP000001909	1405	Non-redundant	5	5	100.0	100.0
1408	Bacillus pumilus	UP000001355	315750	Non-redundant	1	1	100.0	100.0
1422	Geobacillus stearothermophilus	UP000075424	1422	Non-redundant	3	3	100.0	33.3333333333333
1423	Bacillus subtilis	UP000001570	224308	Representative	8	9	100.0	66.6666666666667
1428	Bacillus thuringiensis	UP000000761	412694	Non-redundant	27	36	85.1851851851852	55.5555555555556
1454	Schinkia azotoformans	UP000006315	1131731	Representative	1	1	100.0	100.0
1467	Lederbergia lenta	UP000249134	1467	Representative	1	86	0.0	0.0
1488	Clostridium acetobutylicum	UP000000814	272562	Representative	1	1	100.0	100.0
1491	Clostridium botulinum	UP000001986	441771	Representative	43	450	97.6744186046512	61.1111111111111
1492	Clostridium butyricum	UP000003081	632245	Representative	3	3	100.0	66.6666666666667
1496	Clostridioides difficile	UP000001978	272563	Representative	17	446	94.1176470588235	87.4439461883408
1502	Clostridium perfringens	UP000000818	195102	Representative	15	188	80.0	11.7021276595745
1513	Clostridium tetani	UP000001412	212717	Representative	13	1364	100.0	98.6070381231672
1515	Acetivibrio thermocellus	UP000002145	203119	Representative	1	1	100.0	100.0
1520	Clostridium beijerinckii	UP000000565	290402	Non-redundant	2	2	50.0	50.0
1525	Moorella thermoacetica	UP000182811	1525	Representative	1	1	100.0	0.0
1531	Enterocloster clostridioformis	UP000013180	999406	Non-redundant	2	2	100.0	100.0
1542	Clostridium novyi	UP000008220	386415	Representative	2	2	100.0	100.0
1584	Lactobacillus delbrueckii	UP000001259	390333	Representative	1	1	100.0	100.0
1590	Lactiplantibacillus plantarum	UP000000432	220668	Representative	7	8	100.0	87.5
1599	Latilactobacillus sakei	UP000002707	314315	Representative	1	1	100.0	100.0
1604	Lactobacillus amylovorus	UP000007033	695560	Non-redundant	1	1	100.0	100.0
1605	Ligilactobacillus animalis	UP000051154	930942	Non-redundant	9	9	88.8888888888889	100.0
1613	Limosilactobacillus fermentum	UP000094714	1613	Representative	1	1	100.0	100.0
1638	Listeria ivanovii	UP000001286	881621	Non-redundant	2	2	100.0	100.0
1639	Listeria monocytogenes	UP000000817	169963	Representative	207	833	98.5507246376812	95.3181272509004
1640	Listeria seeligeri	UP000004302	702453	Non-redundant	1	1	100.0	100.0
1641	Listeria grayi	UP000010119	525367	Representative	1	1	100.0	100.0
1642	Listeria innocua	UP000002513	272626	Non-redundant	2	10	100.0	100.0
1643	Listeria welshimeri	UP000000779	386043	Non-redundant	3	3	100.0	100.0
1660	Schaalia odontolytica	UP000003553	411466	Non-redundant	8	8	100.0	75.0
1661	Trueperella pyogenes	UP000254485	1661	Non-redundant	2	7	100.0	57.1428571428571
1664	Arthrobacter glacialis	UP000237061	1664	Representative	1	1	100.0	100.0
1685	Bifidobacterium breve	UP000019336	1385940	Non-redundant	1	1	100.0	100.0
1717	Corynebacterium diphtheriae	UP000002198	257309	Representative	34	250	100.0	99.2
1718	Corynebacterium glutamicum	UP000000582	196627	Representative	47	47	100.0	97.8723404255319
1719	Corynebacterium pseudotuberculosis	UP000000276	681645	Representative	1	6	100.0	100.0
1744	Propionibacterium freudenreichii	UP000000936	754252	Representative	1	1	100.0	100.0
1747	Cutibacterium acnes	UP000019083	1302244	Representative	6	8	100.0	87.5
1764	Mycobacterium avium	UP000000580	262316	Representative	656	1556	99.2378048780488	95.1156812339332
1767	Mycobacterium intracellulare	UP000020825	1299331	Non-redundant	2	2	100.0	100.0
1768	Mycobacterium kansasii	UP000516380	1768	Representative	5	23	100.0	73.9130434782609
1769	Mycobacterium leprae	UP000000806	272631	Representative	71	703	100.0	96.8705547652916
1772	Mycolicibacterium smegmatis	UP000000757	246196	Representative	462	909	99.7835497835498	99.7799779977998
1773	Mycobacterium tuberculosis	UP000001584	83332	Representative	9135	30682	99.7372742200328	92.1582686917411
1778	Mycobacterium gordonae	UP000051677	1778	Non-redundant	1	1	100.0	100.0
1781	Mycobacterium marinum	UP000001190	216594	Representative	247	412	99.5951417004048	100.0
1783	Mycobacterium scrofulaceum	UP000192601	1783	Non-redundant	2	45	100.0	84.4444444444444
1795	Mycolicibacterium neoaurum	UP000018763	700508	Representative	1	1	100.0	100.0
1804	Mycolicibacterium gilvum	UP000008916	278137	Other	843	1576	100.0	97.0812182741117
1809	Mycobacterium ulcerans	UP000020681	1299332	Representative	152	271	100.0	87.8228782287823
1828	Rhodococcus fascians	UP000076038	1828	Representative	2	2	100.0	50.0
1833	Rhodococcus erythropolis	UP000502345	1833	Non-redundant	3	3	100.0	100.0
1836	Saccharopolyspora erythraea	UP000006728	405948	Representative	3	4	100.0	75.0
1895	Streptomyces avidinii	UP000248671	1895	Other	1	1	100.0	0.0
1902	Streptomyces coelicolor	UP000001973	100226	Representative	4	4	100.0	100.0
1916	Streptomyces lividans	UP000002769	457428	Non-redundant	2	8	50.0	87.5
1946	Streptomyces kasugaensis	UP000292452	1946	Representative	1	1	100.0	100.0
2021	Thermobifida fusca		2021	All-proteins	1	1	100.0	100.0
2066	Kitasatospora setae	UP000007076	452652	Representative	1	1	100.0	100.0
2097	Mycoplasmoides genitalium	UP000000807	243273	Representative	3	10	100.0	100.0
2099	Mesomycoplasma hyopneumoniae	UP000006822	295358	Non-redundant	41	320	97.5609756097561	98.4375
2100	Mesomycoplasma hyorhinis	UP000009399	1118964	Representative	1	1	100.0	100.0
2104	Mycoplasmoides pneumoniae	UP000000808	272634	Reference	7	51	100.0	100.0
2110	Mycoplasmopsis agalactiae	UP000007065	347257	Representative	1	3	100.0	100.0
2111	Metamycoplasma arthritidis	UP000008812	243272	Representative	1	3	100.0	100.0
2133	Spiroplasma citri	UP000183717	2133	Non-redundant	1	1	100.0	100.0
2173	Methanobrevibacter smithii	UP000003489	483214	Other	2	2	50.0	50.0
2190	Methanocaldococcus jannaschii	UP000000805	243232	Representative	4	5	100.0	100.0
2234	Archaeoglobus fulgidus	UP000002199	224325	Representative	2	2	100.0	100.0
2238	Haloarcula marismortui	UP000001169	272569	Representative	1	1	100.0	100.0
2242	Halobacterium salinarum	UP000000554	64091	Representative	1	1	100.0	0.0
2261	Pyrococcus furiosus	UP000001013	186497	Representative	2	9	100.0	11.1111111111111
2277	Pyrobaculum islandicum	UP000002595	384616	Other	1	1	100.0	100.0
2287	Saccharolobus solfataricus	UP000001974	273057	Representative	1	1	100.0	100.0
2336	Thermotoga maritima	UP000008183	243274	Representative	1	1	100.0	100.0
2439	Plasmid ColB2		2439	All-proteins	1	1	0.0	0.0
2465	Plasmid F		2465	All-proteins	1	1	0.0	0.0
2702	Gardnerella vaginalis	UP000033124	698954	Representative	10	10	90.0	10.0
2736	Verrucomicrobium spinosum		2736	All-proteins	1	1	100.0	0.0
2903	Emiliania huxleyi	UP000013827	2903	Representative	1	1	100.0	100.0
3055	Chlamydomonas reinhardtii	UP000006906	3055	Representative	1	1	100.0	100.0
3067	Volvox carteri	UP000001058	3068	Representative	1	1	100.0	100.0
3346	Pinus pinea		3346	All-proteins	1	56	100.0	100.0
3352	Pinus taeda		3352	All-proteins	4	7	75.0	57.1428571428571
3369	Cryptomeria japonica		3369	All-proteins	13	748	100.0	96.3903743315508
3505	Betula pendula		3505	All-proteins	22	575	100.0	97.9130434782609
3513	Quercus alba		3513	All-proteins	1	5	100.0	100.0
3517	Alnus glutinosa		3517	All-proteins	2	74	100.0	100.0
3559	Chenopodium album		3559	All-proteins	1	3	100.0	100.0
3562	Spinacia oleracea	UP000054095	3562	Other	2	4	100.0	100.0
3567	Amaranthus caudatus		3567	All-proteins	1	1	100.0	100.0
3617	Fagopyrum esculentum		3617	All-proteins	5	206	100.0	100.0
3625	Actinidia chinensis	UP000241394	1590841	Representative	1	1	100.0	100.0
3645	Bertholletia excelsa		3645	All-proteins	3	48	100.0	91.6666666666667
3656	Cucumis melo	UP000089565	3656	Representative	2	28	100.0	17.8571428571429
3677	Trichosanthes kirilowii		3677	All-proteins	2	4	100.0	100.0
3702	Arabidopsis thaliana	UP000006548	3702	Representative	27	30	100.0	93.3333333333333
3707	Brassica juncea		3707	All-proteins	2	58	100.0	96.5517241379311
3708	Brassica napus	UP000028999	3708	Reference	1	2	100.0	100.0
3711	Brassica rapa	UP000011750	3711	Other	1	1	100.0	100.0
3728	Sinapis alba		3728	All-proteins	1	1	100.0	0.0
3750	Malus domestica	UP000290289	3750	Representative	8	130	100.0	43.0769230769231
3755	Prunus dulcis	UP000327085	3755	Representative	3	131	100.0	85.4961832061069
3758	Prunus domestica		3758	All-proteins	1	4	100.0	100.0
3760	Prunus persica	UP000006882	3760	Representative	4	120	100.0	89.1666666666667
3816	Abrus precatorius	UP000694853	3816	Representative	9	253	100.0	99.2094861660079
3818	Arachis hypogaea	UP000289738	3818	Representative	54	2663	100.0	90.4994367254976
3847	Glycine max	UP000008827	3847	Representative	84	1634	100.0	97.8580171358629
3864	Lens culinaris		3864	All-proteins	2	27	100.0	100.0
3885	Phaseolus vulgaris	UP000000226	3885	Representative	3	17	66.6666666666667	82.3529411764706
3888	Pisum sativum	UP001058974	3888	Other	1	1	100.0	0.0
3972	Viscum album		3972	All-proteins	3	81	100.0	92.5925925925926
3981	Hevea brasiliensis	UP000467840	3981	Representative	11	670	100.0	88.0597014925373
3988	Ricinus communis	UP000008311	3988	Representative	8	150	100.0	92.0
4039	Daucus carota	UP000077755	79200	Representative	2	52	100.0	92.3076923076923
4045	Apium graveolens	UP000593563	4045	Representative	1	52	0.0	0.0
4081	Solanum lycopersicum	UP000004994	4081	Representative	3	6	100.0	83.3333333333333
4097	Nicotiana tabacum	UP000084051	4097	Representative	3	8	100.0	100.0
4113	Solanum tuberosum	UP000011115	4113	Representative	1	1	100.0	100.0
4146	Olea europaea	UP000594638	158383	Representative	7	154	100.0	94.8051948051948
4182	Sesamum indicum	UP000504604	4182	Representative	3	21	100.0	90.4761904761905
4212	Ambrosia artemisiifolia		4212	All-proteins	23	474	100.0	99.789029535865
4214	Ambrosia trifida		4214	All-proteins	2	14	100.0	100.0
4220	Artemisia vulgaris		4220	All-proteins	7	213	100.0	99.5305164319249
4232	Helianthus annuus	UP000215914	4232	Representative	1	23	100.0	91.304347826087
4498	Avena sativa		4498	All-proteins	5	14	100.0	78.5714285714286
4509	Dactylis glomerata		4509	All-proteins	8	25	100.0	100.0
4513	Hordeum vulgare	UP000011116	112509	Representative	14	70	78.5714285714286	25.7142857142857
4522	Lolium perenne		4522	All-proteins	13	402	100.0	96.0199004975124
4530	Oryza sativa	UP000059680	39947	Representative	13	18	84.6153846153846	88.8888888888889
4545	Poa pratensis		4545	All-proteins	5	125	100.0	100.0
4550	Secale cereale		4550	All-proteins	10	125	100.0	95.2
4558	Sorghum bicolor	UP000000768	4558	Representative	1	1	100.0	100.0
4565	Triticum aestivum	UP000019116	4565	Representative	780	11879	98.5897435897436	32.7973735162893
4568	Triticum monococcum		4568	All-proteins	2	2	100.0	100.0
4573	Aegilops speltoides		4573	All-proteins	5	5	80.0	80.0
4577	Zea mays	UP000007305	4577	Representative	8	8	100.0	100.0
4606	Lolium arundinaceum		4606	All-proteins	1	1	100.0	100.0
4641	Musa acuminata	UP000012960	214687	Representative	3	107	100.0	100.0
4754	Pneumocystis carinii	UP000054454	1408658	Other	2	3	100.0	33.3333333333333
4784	Phytophthora capsici		4784	All-proteins	1	1	100.0	0.0
4932	Saccharomyces cerevisiae	UP000002311	559292	Representative	35	61	97.1428571428571	96.7213114754098
4954	Zygosaccharomyces bailii	UP000019375	1333698	Non-redundant	1	1	100.0	100.0
5037	Histoplasma capsulatum	UP000008142	544711	Representative	52	84	98.0769230769231	94.047619047619
5039	Blastomyces dermatitidis	UP000002039	559297	Other	19	40	100.0	97.5
5060	Aspergillus giganteus		5060	All-proteins	1	47	100.0	100.0
5061	Aspergillus niger	UP000006706	425011	Representative	3	3	100.0	100.0
5064	Aspergillus restrictus		5064	All-proteins	1	1	100.0	100.0
5067	Aspergillus parasiticus	UP000326532	5067	Representative	1	1	100.0	100.0
5076	Penicillium chrysogenum	UP000076449	5076	Other	5	129	100.0	82.9457364341085
5077	Penicillium citrinum		5077	All-proteins	1	26	100.0	100.0
5116	Cryphonectria parasitica		5116	All-proteins	1	1	0.0	0.0
5141	Neurospora crassa	UP000001805	367110	Representative	4	9	100.0	100.0
5207	Cryptococcus neoformans	UP000002149	214684	Representative	12	70	100.0	58.5714285714286
5270	Ustilago maydis	UP000000561	237631	Representative	2	2	100.0	100.0
5476	Candida albicans	UP000000559	237561	Representative	22	215	100.0	88.3720930232558
5482	Candida tropicalis	UP000002037	294747	Representative	2	2	100.0	100.0
5501	Coccidioides immitis	UP000001261	246410	Representative	1	1	100.0	100.0
5503	Curvularia lunata		5503	All-proteins	2	20	100.0	100.0
5507	Fusarium oxysporum	UP000219602	327505	Representative	4	4	100.0	75.0
5551	Trichophyton rubrum	UP000008864	559305	Representative	1	28	100.0	100.0
5580	Aureobasidium pullulans	UP000030706	1043002	Representative	1	1	100.0	100.0
5599	Alternaria alternata	UP000077248	5599	Representative	19	108	100.0	78.7037037037037
5659	Leishmania amazonensis		5659	All-proteins	3	23	66.6666666666667	26.0869565217391
5660	Leishmania braziliensis	UP000007258	5660	Reference	29	57	100.0	96.4912280701754
5661	Leishmania donovani	UP000601710	5661	Other	44	213	93.1818181818182	89.2018779342723
5664	Leishmania major	UP000000542	5664	Representative	84	389	98.8095238095238	91.2596401028278
5665	Leishmania mexicana	UP000007259	929439	Other	6	10	100.0	50.0
5667	Leishmania aethiopica		5667	All-proteins	4	85	75.0	30.5882352941177
5671	Leishmania infantum	UP000008153	5671	Reference	52	316	98.0769230769231	67.4050632911392
5679	Leishmania panamensis	UP000063063	5679	Other	7	18	100.0	94.4444444444444
5682	Leishmania pifanoi		5682	All-proteins	1	21	100.0	100.0
5691	Trypanosoma brucei	UP000008524	185431	Representative	14	98	92.8571428571429	7.14285714285714
5693	Trypanosoma cruzi	UP000002296	353153	Representative	793	174825	97.8562421185372	99.2787072787073
5699	Trypanosoma vivax	UP000009027	1055687	Representative	1	1	100.0	100.0
5722	Trichomonas vaginalis	UP000001542	412133	Reference	9	81	100.0	97.5308641975309
5741	Giardia intestinalis	UP000001548	184922	Representative	416	433	98.7980769230769	96.9976905311778
5755	Acanthamoeba castellanii	UP000011083	1257118	Representative	4	16	75.0	87.5
5759	Entamoeba histolytica	UP000001926	294381	Representative	144	222	100.0	95.9459459459459
5802	Eimeria tenella	UP000243681	5802	Other	3	10	66.6666666666667	0.0
5807	Cryptosporidium parvum	UP000006726	353152	Representative	137	145	99.2700729927007	97.2413793103448
5811	Toxoplasma gondii	UP000002226	432359	Representative	294	803	99.3197278911565	82.6899128268991
5821	Plasmodium berghei	UP000074855	5823	Representative	436	810	95.6422018348624	87.7777777777778
